,coefficient,std_error,p_value
post_treatment,-0.2531798291035403,0.730723818967035,0.7289834103495133
post_covid,28.754303575935747,0.2017828003778673,0.0
treatment_x_covid,0.7279713861226138,0.6430383342315641,0.2576004437037994
