event_time,coef,se,pvalue,ci_lower,ci_upper
-3,2.5659985862008052,2.6988367851124013,0.3417163405692637,-2.7236243127713666,7.855621485172977
-2,-1.2844597373344324,3.3091812229199293,0.6979047983740057,-7.770335752573706,5.2014162779048405
-1,-1.2526269623537236,0.9340910363830278,0.1799166700293907,-3.0834117519461515,0.5781578272387042
1,0.0,0.0,,0.0,0.0
2,1.1987535133094163,2.0794322056991126,0.5642899930640053,-2.87685871815353,5.274365744772362
3,0.39811657154000085,3.1952802160846945,0.9008440301267555,-5.864517572499362,6.660750715579364
4,-0.5501508932240213,2.4053205869443657,0.8190846202867882,-5.264492614907722,4.164190828459679
5,-3.2691637850781627,3.2463958710415173,0.31392838791565547,-9.631982771879075,3.093655201722749
