event_time,coef,se,pvalue,ci_lower,ci_upper
-3,-4.121195779983043,1.5915097996602479,0.009611872866113244,-7.240497668359685,-1.0018938916064002
-2,-1.0315022058792267,1.36692031511941,0.4504784259577911,-3.710616793249412,1.6476123814909585
-1,0.3220320469186375,2.030179767195028,0.873966356374608,-3.6570471789255286,4.301111272762803
1,0.0,0.0,,0.0,0.0
2,1.5810283900350512,1.634660433104894,0.33344870387448466,-1.6228471858031872,4.78490396587329
3,1.4393568140335045,2.0714887259172645,0.48715449196108007,-2.6206864831450973,5.499400111212107
4,1.8228396545168537,2.139630250958179,0.3942466009395842,-2.3707585775935747,6.016437886627282
5,0.21121256575318081,2.7229179966473485,0.938171329101664,-5.125608640531578,5.54803377203794
