event_time,coef,se,pvalue,ci_lower,ci_upper
-3,-0.8648785893877763,2.282873750394722,0.7047953943710847,-5.339228921413312,3.60947174263776
-2,-1.7144536213373816,1.7321607665984926,0.32228292191207564,-5.109426339303718,1.6805190966289547
-1,0.5231396070977047,1.0696075899883517,0.6247745186746689,-1.5732527468701498,2.619531961065559
1,0.0,0.0,,0.0,0.0
2,1.5748998610363998,2.399438769328041,0.5115913866543959,-3.1279137099556706,6.27771343202847
3,-1.402063272901117,1.7277949846165657,0.4170926656790508,-4.788479215418523,1.9843526696162883
4,1.657460218984185,1.7104414694601007,0.3325328109398229,-1.694943458821379,5.009863896789749
5,-2.885181201048085,2.1506930637606816,0.1797541785583907,-7.100462147819127,1.3300997457229569
