variable,treated_mean,control_mean,difference,n_treated_states,n_control_states
under_monitoring,0.0,0.05505952380952381,-0.05505952380952381,16,51
court_ordered,0.10884353741496598,0.03422619047619048,0.0746173469387755,16,51
